Mobile Name,Rating,Number of Ratings,Storage,Screen,Camera,Battery,Type of Processor,Price
"Redmi Y3 (Elegant Blue, 32 GB)",4.3,"18,919  ",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"Rs.8,369"
,,,,,,,,
"Redmi 7A (Matte Black, 32 GB)",4.3,"3,62,578  ",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,"Rs.6,699"
,,,,,,,,
"Redmi 7 (Eclipse Black, 32 GB)",4.3,"13,109  ",2 GB RAM | 32 GB ROM,15.9 cm (6.26 inch) Display,12MP Rear Camera,4000 mAh Battery,12 Months,"Rs.7,078"
,,,,,,,,
"Redmi Note 7S (Sapphire Blue, 32 GB)",4.4,"2,93,587  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.9,999"
,,,,,,,,
"Redmi 6 Pro (Lake Blue, 32 GB)",4.3,"10,502  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inch) Full HD+ Display,12MP + 5MP | 5MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 625 Processor,"Rs.8,090"
,,,,,,,,
"Redmi 6 Pro (Black, 32 GB)",4.3,"10,502  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inch) Full HD+ Display,12MP + 5MP | 5MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 625 Processor,"Rs.7,999"
,,,,,,,,
"Redmi 6 Pro (Red, 32 GB)",4.3,"10,502  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inch) Full HD+ Display,12MP + 5MP | 5MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 625 Processor,"Rs.7,984"
,,,,,,,,
"Redmi 6 Pro (Gold, 32 GB)",4.3,"10,502  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inch) Full HD+ Display,12MP + 5MP | 5MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 625 Processor,"Rs.7,920"
,,,,,,,,
"Redmi 6A (Black, 32 GB)",4.3,"51,405  ",2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD Display,13MP Rear Camera,3000 mAh Battery,Mediateck Processor,"Rs.5,412"
,,,,,,,,
"Redmi 6A (Blue, 16 GB)",4.3,"51,405  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,1 Year Manufacturer Warranty,"Rs.5,690"
,,,,,,,,
"Redmi 8A Dual (Midnight Grey, 32 GB)",4.3,325  ,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,"Rs.7,399"
,,,,,,,,
"Redmi 8A Dual (Sea Blue, 32 GB)",4.3,325  ,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,"Rs.7,399"
,,,,,,,,
"Redmi 8A Dual (Midnight Grey, 32 GB)",4.3,441  ,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,"Rs.7,499"
,,,,,,,,
"Redmi Note 7S (Onyx Black, 32 GB)",4.4,"2,93,587  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.9,999"
,,,,,,,,
"Redmi 7A (Matte Gold, 32 GB)",4.3,"3,62,578  ",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,"Rs.6,699"
,,,,,,,,
"Redmi Y3 (Prime Black, 64 GB)",4.4,"2,905  ",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"Rs.9,499"
,,,,,,,,
"Redmi Note 5 Pro (Blue, 64 GB)",4.5,"2,53,923  ",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor,"Rs.13,999"
,,,,,,,,
"Redmi Y2 (Gold, 64 GB)",4.4,"25,858  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"Rs.8,499"
,,,,,,,,
"Mi 10 (Coral Green, 256 GB)",4.9,8  ,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera | 20MP Front Camera,4780 mAh Battery,Qualcomm Spectra 480 ISP Processor,"Rs.51,999"
,,,,,,,,
"Redmi Note 3 (Gold, 32 GB)",4.3,"1,41,680  ",3 GB RAM | 32 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 5MP Front Camera,4050 mAh Li-Polymer Battery Battery,Qualcomm Snapdragon 650 64-bit 0 1.8GHz Processor,"Rs.11,999"
,,,,,,,,
"Redmi Note 5 Pro (Rose Gold, 64 GB)",4.5,"11,57,300  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor,"Rs.12,999"
,,,,,,,,
"Redmi Note 5 Pro (Red, 64 GB)",4.5,"11,57,300  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor,"Rs.12,999"
,,,,,,,,
"Redmi Note 5 Pro (Black, 64 GB)",4.5,"2,53,923  ",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor,"Rs.13,999"
,,,,,,,,
"Redmi Note 9 Pro (Glacier White, 64 GB)",4.2,319  ,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,5020 mAh Battery,Qualcomm® Snapdragon™ 720G Processor,"Rs.16,999"
,,,,,,,,
"Redmi Note 7 (Onyx Black, 64 GB)",4.5,"1,74,587  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.15,499"
,,,,,,,,
"Redmi Note 5 (Rose Gold, 32 GB)",4.4,"3,49,709  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"Rs.12,299"
,,,,,,,,
"Mi A2 (Gold, 64 GB)",4.2,"32,340  ",4 GB RAM | 64 GB ROM,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.17,490"
,,,,,,,,
"Redmi Go (Blue, 16 GB)",4.3,"1,59,989  ",1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Li Polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.6,700"
,,,,,,,,
"Redmi Note 5 (Gold, 32 GB)",4.4,"3,49,709  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"Rs.11,999"
,,,,,,,,
"Mi A1 (Rose Gold, 64 GB)",4.4,"4,67,119  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,12MP + 12MP | 5MP Front Camera,3080 mAh Li-polymer Battery,Qualcomm Snapdragon 625 64 bit Octa Core 2GHz Processor,"Rs.14,999"
,,,,,,,,
"Redmi Y2 (Dark Grey, 32 GB)",4.5,"1,16,467  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"Rs.7,999"
,,,,,,,,
"Mi 4i (Blue, 16 GB)",4.2,"79,067  ",2 GB RAM | 16 GB ROM,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3030 mAh Li-ion Polymer Battery,2nd-gen Snapdragon 615 64-bit octa-core Processor,"Rs.11,999"
,,,,,,,,
"Redmi Y1 (Grey, 64 GB)",4.1,895  ,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3080 mAh Battery,Qualcomm Snapdragon 435 Processor,"Rs.11,599"
,,,,,,,,
